columna,columna_mostrada,valor,valor_mostrado,frecuencia
 ,'<NBSP>',,'',11867
CODIGO,CODIGO,00-01-0158-46,00-01-0158-46,1
CODIGO,CODIGO,00-01-0160-46,00-01-0160-46,1
CODIGO,CODIGO,00-01-0162-46,00-01-0162-46,1
CODIGO,CODIGO,00-01-0168-46,00-01-0168-46,1
CODIGO,CODIGO,00-01-0173-46,00-01-0173-46,1
CODIGO,CODIGO,00-01-0174-46,00-01-0174-46,1
CODIGO,CODIGO,00-01-0175-46,00-01-0175-46,1
CODIGO,CODIGO,00-01-0176-46,00-01-0176-46,1
CODIGO,CODIGO,00-01-0177-46,00-01-0177-46,1
CODIGO,CODIGO,00-01-0178-46,00-01-0178-46,1
CODIGO,CODIGO,00-01-0179-46,00-01-0179-46,1
CODIGO,CODIGO,00-01-0180-46,00-01-0180-46,1
CODIGO,CODIGO,00-01-0181-46,00-01-0181-46,1
CODIGO,CODIGO,00-01-0182-46,00-01-0182-46,1
CODIGO,CODIGO,00-01-0183-46,00-01-0183-46,1
CODIGO,CODIGO,00-01-0184-46,00-01-0184-46,1
CODIGO,CODIGO,00-01-0185-46,00-01-0185-46,1
CODIGO,CODIGO,00-01-0186-46,00-01-0186-46,1
CODIGO,CODIGO,00-01-0187-46,00-01-0187-46,1
CODIGO,CODIGO,00-01-0188-46,00-01-0188-46,1
DISTRITO,DISTRITO, ,'<NBSP>',532
DISTRITO,DISTRITO,01-403,01-403,166
DISTRITO,DISTRITO,01-411,01-411,107
DISTRITO,DISTRITO,05-033,05-033,104
DISTRITO,DISTRITO,11-017,11-017,79
DISTRITO,DISTRITO,01-101,01-101,76
DISTRITO,DISTRITO,01-,01-,67
DISTRITO,DISTRITO,01-409,01-409,64
DISTRITO,DISTRITO,01-405,01-405,62
DISTRITO,DISTRITO,01-641,01-641,55
DISTRITO,DISTRITO,05-007,05-007,55
DISTRITO,DISTRITO,18-008,18-008,54
DISTRITO,DISTRITO,03-002,03-002,50
DISTRITO,DISTRITO,13-004,13-004,50
DISTRITO,DISTRITO,10-019,10-019,45
DISTRITO,DISTRITO,01-99-0153,01-99-0153,44
DISTRITO,DISTRITO,01-301,01-301,43
DISTRITO,DISTRITO,01-99-0154,01-99-0154,43
DISTRITO,DISTRITO,10-01-0511,10-01-0511,42
DISTRITO,DISTRITO,01-01-0037,01-01-0037,40
DEPARTAMENTO,DEPARTAMENTO,CIUDAD CAPITAL,CIUDAD CAPITAL,2161
DEPARTAMENTO,DEPARTAMENTO,GUATEMALA,GUATEMALA,1908
DEPARTAMENTO,DEPARTAMENTO,SAN MARCOS,SAN MARCOS,724
DEPARTAMENTO,DEPARTAMENTO,ESCUINTLA,ESCUINTLA,708
DEPARTAMENTO,DEPARTAMENTO,HUEHUETENANGO,HUEHUETENANGO,591
DEPARTAMENTO,DEPARTAMENTO,QUETZALTENANGO,QUETZALTENANGO,551
DEPARTAMENTO,DEPARTAMENTO,PETEN,PETEN,516
DEPARTAMENTO,DEPARTAMENTO,ALTA VERAPAZ,ALTA VERAPAZ,475
DEPARTAMENTO,DEPARTAMENTO,SUCHITEPEQUEZ,SUCHITEPEQUEZ,437
DEPARTAMENTO,DEPARTAMENTO,CHIMALTENANGO,CHIMALTENANGO,435
DEPARTAMENTO,DEPARTAMENTO,SACATEPEQUEZ,SACATEPEQUEZ,430
DEPARTAMENTO,DEPARTAMENTO,IZABAL,IZABAL,413
DEPARTAMENTO,DEPARTAMENTO,JUTIAPA,JUTIAPA,392
DEPARTAMENTO,DEPARTAMENTO,RETALHULEU,RETALHULEU,364
DEPARTAMENTO,DEPARTAMENTO,QUICHE,QUICHE,322
DEPARTAMENTO,DEPARTAMENTO,CHIQUIMULA,CHIQUIMULA,239
DEPARTAMENTO,DEPARTAMENTO,SANTA ROSA,SANTA ROSA,213
DEPARTAMENTO,DEPARTAMENTO,SOLOLA,SOLOLA,192
DEPARTAMENTO,DEPARTAMENTO,JALAPA,JALAPA,183
DEPARTAMENTO,DEPARTAMENTO,BAJA VERAPAZ,BAJA VERAPAZ,171
MUNICIPIO,MUNICIPIO,ZONA 1,ZONA 1,868
MUNICIPIO,MUNICIPIO,MIXCO,MIXCO,562
MUNICIPIO,MUNICIPIO,VILLA NUEVA,VILLA NUEVA,446
MUNICIPIO,MUNICIPIO,QUETZALTENANGO,QUETZALTENANGO,281
MUNICIPIO,MUNICIPIO,ZONA 7,ZONA 7,236
MUNICIPIO,MUNICIPIO,RETALHULEU,RETALHULEU,204
MUNICIPIO,MUNICIPIO,MAZATENANGO,MAZATENANGO,200
MUNICIPIO,MUNICIPIO,CHIMALTENANGO,CHIMALTENANGO,198
MUNICIPIO,MUNICIPIO,ESCUINTLA,ESCUINTLA,189
MUNICIPIO,MUNICIPIO,HUEHUETENANGO,HUEHUETENANGO,177
MUNICIPIO,MUNICIPIO,PUERTO BARRIOS,PUERTO BARRIOS,173
MUNICIPIO,MUNICIPIO,SAN MIGUEL PETAPA,SAN MIGUEL PETAPA,160
MUNICIPIO,MUNICIPIO,ZONA 12,ZONA 12,149
MUNICIPIO,MUNICIPIO,AMATITLAN,AMATITLAN,146
MUNICIPIO,MUNICIPIO,ANTIGUA GUATEMALA,ANTIGUA GUATEMALA,145
MUNICIPIO,MUNICIPIO,SANTA LUCIA COTZUMALGUAPA,SANTA LUCIA COTZUMALGUAPA,136
MUNICIPIO,MUNICIPIO,ZONA 18,ZONA 18,134
MUNICIPIO,MUNICIPIO,JUTIAPA,JUTIAPA,133
MUNICIPIO,MUNICIPIO,COBAN,COBAN,132
MUNICIPIO,MUNICIPIO,MORALES,MORALES,130
