departamento,municipio,confianza,codigo_a,establecimiento_a,codigo_b,establecimiento_b,similitud_nombre,similitud_direccion,telefono_a,telefono_b,decision
ALTA VERAPAZ,COBAN,alta,16-01-0587-46,LICEO MIXTO EN COMPUTACION DEL NORTE,16-01-0588-46,LICEO MIXTO EN COMPUTACION DEL NORTE,100.0,100.0,48633323,48633323,revisar
ALTA VERAPAZ,LA TINTA,alta,16-16-0135-46,LICEO CRISTIANO EBENEZER,16-16-0139-46,LICEO CRISTIANO EBENEZER,100.0,100.0,57439100,57439100,revisar
ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,alta,16-03-0088-46,LICEO GALILEO GALILEI,16-03-1520-46,LICEO GALILEO GALILEI,100.0,100.0,45160662,45160662,revisar
ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,alta,16-03-0271-46,COLEGIO DE FORMACIÓN TÉCNICO-PROFESIONAL NEXUS,16-03-0272-46,COLEGIO DE FORMACIÓN TÉCNICO-PROFESIONAL NEXUS,100.0,100.0,35883366,35883366,revisar
ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,alta,16-03-0271-46,COLEGIO DE FORMACIÓN TÉCNICO-PROFESIONAL NEXUS,16-03-0273-46,COLEGIO DE FORMACIÓN TÉCNICO-PROFESIONAL NEXUS,100.0,100.0,35883366,35883366,revisar
ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,alta,16-03-0272-46,COLEGIO DE FORMACIÓN TÉCNICO-PROFESIONAL NEXUS,16-03-0273-46,COLEGIO DE FORMACIÓN TÉCNICO-PROFESIONAL NEXUS,100.0,100.0,35883366,35883366,revisar
ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,alta,16-03-9884-46,LICEO SAN CRISTOBAL,16-03-9885-46,LICEO SAN CRISTOBAL,100.0,100.0,57332422,57332422,revisar
ALTA VERAPAZ,SAN JUAN CHAMELCO,alta,16-10-0067-46,INSTITUTO TECNICO EN RECURSOS NATURALES,16-10-1400-46,INSTITUTO TECNICO EN RECURSOS NATURALES,100.0,100.0,79500480,79500480,revisar
ALTA VERAPAZ,SAN PEDRO CARCHA,alta,16-09-0007-46,CENTRO EDUCATIVO NUEVA VIDA,16-09-0870-46,CENTRO EDUCATIVO NUEVA VIDA,100.0,97.67,36369056,36369056,revisar
ALTA VERAPAZ,SAN PEDRO CARCHA,alta,16-09-0844-46,COLEGIO SAGRADA FAMILIA,16-09-0863-46,COLEGIO SAGRADA FAMILIA,100.0,97.78,51866549,51866549,revisar
BAJA VERAPAZ,RABINAL,alta,15-03-0060-46,COLEGIO PARTICULAR MIXTO SANTO DOMINGO,15-03-0062-46,COLEGIO PARTICULAR MIXTO SANTO DOMINGO,100.0,100.0,79388037,79388037,revisar
BAJA VERAPAZ,RABINAL,alta,15-03-0778-46,CENTRO CULTURAL DE AMERICA,15-03-1888-46,CENTRO CULTURAL DE AMERICA,100.0,100.0,79388718,79388718,revisar
BAJA VERAPAZ,SALAMA,alta,15-01-0112-46,COLEGIO PARTICULAR MIXTO CIENCIA Y DESARROLLO,15-01-0114-46,COLEGIO PARTICULAR MIXTO CIENCIA Y DESARROLLO,100.0,98.73,79540830-79540909,79540830-79540909,revisar
BAJA VERAPAZ,SALAMA,alta,15-01-0113-46,COLEGIO PARTICULAR MIXTO CIENCIA Y DESARROLLO,15-01-0115-46,COLEGIO PARTICULAR MIXTO CIENCIA Y DESARROLLO,100.0,97.44,79540830,79540830,revisar
BAJA VERAPAZ,SALAMA,alta,15-01-0157-46,LICEO SAN RAFAEL,15-01-0160-46,LICEO SAN RAFAEL,100.0,100.0,50022615,50022615,revisar
